x1,x2,y
6.965102375654643740e-01,3.274146357231986770e-01,0.000000000000000000e+00
1.882255650186256180e+00,-1.502639677251502159e-02,1.000000000000000000e+00
1.623632873669832222e+00,-8.858543090286345734e-02,1.000000000000000000e+00
-1.106154314005639433e-01,1.706844366066618546e-01,1.000000000000000000e+00
7.738142912593413969e-03,4.633076569010285972e-02,1.000000000000000000e+00
1.161035597610337033e+00,-2.085838885711372992e-01,0.000000000000000000e+00
1.618434226827959455e+00,-1.843519986207351746e-01,1.000000000000000000e+00
-8.203016179492397253e-01,7.010795321331664276e-01,0.000000000000000000e+00
1.787572096513572850e+00,-5.460482621529676450e-01,1.000000000000000000e+00
-3.300372498663366461e-01,7.511014084209158836e-01,0.000000000000000000e+00
6.493864080783726678e-01,3.569815294935024252e-01,0.000000000000000000e+00
-1.073266403553689186e+00,4.072334901632959636e-01,0.000000000000000000e+00
-1.164566790895984472e+00,-1.140268056759857762e-01,0.000000000000000000e+00
1.432529299902711273e+00,-6.639855173550648360e-01,1.000000000000000000e+00
2.984751464277147215e-01,5.638295805883530853e-01,0.000000000000000000e+00
1.139616425638048103e+00,7.195187518141090699e-01,0.000000000000000000e+00
-8.131987224073007337e-01,6.030245628628502219e-01,0.000000000000000000e+00
2.161043935583054409e+00,2.056910120446838741e-01,1.000000000000000000e+00
-1.056484036874359544e+00,7.760944242980276631e-01,0.000000000000000000e+00
9.683010101278459736e-01,-7.036147271557463556e-01,1.000000000000000000e+00
-4.720749289326704456e-01,1.518842069888642676e+00,0.000000000000000000e+00
-7.100837955081914510e-01,-4.030606289036930967e-02,0.000000000000000000e+00
9.698794778019534935e-01,9.356862654029629578e-02,0.000000000000000000e+00
-5.330022273111747477e-01,8.211883831136008727e-01,0.000000000000000000e+00
8.585532294156650313e-01,7.779750123218411861e-01,0.000000000000000000e+00
2.139293592840456171e+00,3.675045987691343274e-01,1.000000000000000000e+00
1.250696846404071305e+00,-2.560651936778601812e-01,1.000000000000000000e+00
2.800925701556317149e-01,-3.860387286509147642e-01,1.000000000000000000e+00
1.102053950980055874e-01,-2.984599116691081799e-01,1.000000000000000000e+00
1.166105480443099474e+00,2.651397190790300562e-01,0.000000000000000000e+00
-1.129494629978975428e+00,1.360670394184692045e-01,0.000000000000000000e+00
-1.198870760676759906e+00,5.909450956256920851e-01,0.000000000000000000e+00
1.844926536969267450e-01,6.609741498393373327e-01,0.000000000000000000e+00
-1.391409087650008480e-01,8.440995900187733270e-01,0.000000000000000000e+00
5.898341136910845162e-01,1.134734295003899440e+00,0.000000000000000000e+00
1.355083477757524246e+00,-6.966706533545655722e-01,1.000000000000000000e+00
2.067644367156924901e+00,-1.198142861628799377e-01,1.000000000000000000e+00
7.005501438220913535e-01,4.737115013687752674e-01,0.000000000000000000e+00
-2.228292020922316430e-02,1.474092827726748434e-01,1.000000000000000000e+00
1.913553280913783405e+00,4.384748046942527067e-02,1.000000000000000000e+00
4.259567313395403731e-01,5.765959800330585638e-01,0.000000000000000000e+00
-1.220313985467193829e+00,5.749553178029086220e-02,0.000000000000000000e+00
1.619024205470012356e+00,-2.604720606275856554e-01,1.000000000000000000e+00
1.241469636480509564e+00,-3.612327077347336490e-01,1.000000000000000000e+00
-5.057964270816852626e-01,7.562812647393248877e-01,0.000000000000000000e+00
9.163460925600571683e-01,-7.123905376160984959e-01,1.000000000000000000e+00
2.679121810909412815e-01,3.496457862350988988e-01,1.000000000000000000e+00
8.324668737288342113e-01,3.996063299052476925e-01,0.000000000000000000e+00
-8.324490557588546391e-01,4.931361709328927478e-01,0.000000000000000000e+00
5.813143894920130839e-01,4.321505603188940947e-01,0.000000000000000000e+00
1.539384222659975654e+00,-2.742604212908850148e-01,1.000000000000000000e+00
1.161793148110088270e+00,-3.859370707644869669e-01,1.000000000000000000e+00
-1.176359295526049897e-01,-1.878667027563853675e-01,1.000000000000000000e+00
1.157746583764644122e+00,6.469006198806247498e-01,0.000000000000000000e+00
1.619176889468026070e+00,-2.328370375372839085e-01,1.000000000000000000e+00
1.692502895139980090e-02,6.093642574998384687e-01,1.000000000000000000e+00
2.398693861119527870e+00,3.625792873921015458e-01,1.000000000000000000e+00
1.330442708883841085e+00,-3.759799582900502646e-02,1.000000000000000000e+00
9.571445523685965240e-01,4.242756473163758479e-01,0.000000000000000000e+00
2.393189242063767097e-01,1.012036096126023299e+00,0.000000000000000000e+00
-3.277945350345802256e-01,1.246867085144803156e+00,0.000000000000000000e+00
1.670703172326087227e+00,3.187840236212721168e-01,1.000000000000000000e+00
-9.371076094082942953e-01,2.406738674270925415e-01,0.000000000000000000e+00
